Starting training
  dataset_root: dataset/cleaned
  model_type:   denoised_cnn
  epochs:       10
  batch_size:   32
  lr:           1e-4
  out_dir:      models
  max_samples:  0
Activating virtual environment and dependencies...
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v4, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v3, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: facenet-pytorch in ./.venv/lib/python3.11/site-packages (2.6.0)
Using device: cuda
Training images:   160002
Validation images: 49428
Checkpoints & metrics → models/denoised_cnn/
Figures               → figures/denoised_cnn/
  [Epoch 2 | Batch 540/5001] Avg Loss: 0.1128
  [Epoch 2 | Batch 560/5001] Avg Loss: 0.1133
  [Epoch 2 | Batch 580/5001] Avg Loss: 0.1136
  [Epoch 2 | Batch 600/5001] Avg Loss: 0.1138
  [Epoch 2 | Batch 620/5001] Avg Loss: 0.1143
  [Epoch 2 | Batch 640/5001] Avg Loss: 0.1142
  [Epoch 2 | Batch 660/5001] Avg Loss: 0.1136
  [Epoch 2 | Batch 680/5001] Avg Loss: 0.1128
  [Epoch 2 | Batch 700/5001] Avg Loss: 0.1124
  [Epoch 2 | Batch 720/5001] Avg Loss: 0.1119
  [Epoch 2 | Batch 740/5001] Avg Loss: 0.1134
  [Epoch 2 | Batch 760/5001] Avg Loss: 0.1133
  [Epoch 2 | Batch 780/5001] Avg Loss: 0.1137
  [Epoch 2 | Batch 800/5001] Avg Loss: 0.1133
  [Epoch 2 | Batch 820/5001] Avg Loss: 0.1134
  [Epoch 2 | Batch 840/5001] Avg Loss: 0.1140
  [Epoch 2 | Batch 860/5001] Avg Loss: 0.1140
  [Epoch 2 | Batch 880/5001] Avg Loss: 0.1141
  [Epoch 2 | Batch 900/5001] Avg Loss: 0.1142
  [Epoch 2 | Batch 920/5001] Avg Loss: 0.1137
  [Epoch 2 | Batch 940/5001] Avg Loss: 0.1140
  [Epoch 2 | Batch 960/5001] Avg Loss: 0.1142
  [Epoch 2 | Batch 980/5001] Avg Loss: 0.1145
